Name|Phone|Review Count|Foody Link|Category|District|City
Ban Mai - Trà Sữa Nhà Làm - Cách Mạng Tháng 8|01234333997|10|https://www.foody.vn/ho-chi-minh/ban-mai-tra-sua-nha-lam-cach-mang-thang-8|Café/Dessert|Quận Tân Bình|TP. HCM
Yuna Alaska Coffee|0909898730|6|https://www.foody.vn/ho-chi-minh/yuna-alaska-coffee|Café/Dessert|Quận Bình Thạnh|TP. HCM
Kimbap Hoàng Tử|0938151693, 0938613928|181|https://www.foody.vn/ho-chi-minh/kimbap-hoang-tu|Quán ăn|Quận Tân Bình|TP. HCM
Tư Xê - Bún Num Bò Chóc|(08)38357049|9|https://www.foody.vn/ho-chi-minh/tu-xe-bun-num-bo-choc|Quán ăn|Quận 10|TP. HCM
Khang Dim Sum Bar|(08)38384838, (08)38384555, 0938118888|64|https://www.foody.vn/ho-chi-minh/khang-dim-sum-bar|Nhà hàng|Quận 5|TP. HCM
Súp Cua - Nguyễn Gia Thiều||1|https://www.foody.vn/ho-chi-minh/sup-cua-nguyen-gia-thieu|Ăn vặt/vỉa hè|Quận 3|TP. HCM
Cơm Trộn 2 Cô - Lê Văn Sỹ|0903977133, 0909844804|187|https://www.foody.vn/ho-chi-minh/com-tron-2-co-le-van-sy|Quán ăn|Quận Tân Bình|TP. HCM
Chè Tường Phong||136|https://www.foody.vn/ho-chi-minh/tuong-phong|Quán ăn|Quận 5|TP. HCM
The Fiction Coffee||1|https://www.foody.vn/ho-chi-minh/the-fiction-coffee|Café/Dessert|Quận Tân Bình|TP. HCM
Chang Kang Kung - Hải Sản Khói - Crescent Mall|19008084|2|https://www.foody.vn/ho-chi-minh/chang-kang-kung-hai-san-khoi-crescent-mall|Nhà hàng|Quận 7|TP. HCM
Bánh Canh 60' - Nguyễn Phi Khanh||8|https://www.foody.vn/ho-chi-minh/banh-canh-60|Quán ăn|Quận 1|TP. HCM
Bready Beefsteak Bánh Mì Tươi - Bà Huyện Thanh Quan|(08)39306792|121|https://www.foody.vn/ho-chi-minh/banh-mi-tuoi-bready-vo-van-tan|Quán ăn|Quận 3|TP. HCM
Quán Ăn Ngọc Nga - Các Món Canh Bún|0939142389|15|https://www.foody.vn/ho-chi-minh/ngoc-nga-canh-bun-bun-rieu|Quán ăn|Quận Tân Bình|TP. HCM
Góc Cafe||1|https://www.foody.vn/ho-chi-minh/goc-cafe-duong-so-7|Café/Dessert|Quận Thủ Đức|TP. HCM
Mom's Touch Chicken & Burgers||81|https://www.foody.vn/ho-chi-minh/mom-s-touch-chicken-burgers|Nhà hàng|Quận 4|TP. HCM
Kim Dung Cafe||1|https://www.foody.vn/ho-chi-minh/kim-dung-cafe|Café/Dessert|Quận Gò Vấp|TP. HCM
Baozi - Ẩm Thực Đài Loan||283|https://www.foody.vn/ho-chi-minh/baozi-nha-hang-dai-loan|Nhà hàng|Quận 1|TP. HCM
Bún Đậu Amy||1|https://www.foody.vn/ho-chi-minh/bun-dau-amy|Quán ăn|Quận 10|TP. HCM
Don Chicken - Chicken & Pub - Hoa Lan||59|https://www.foody.vn/ho-chi-minh/don-chicken-chicken-pub-hoa-lan|Nhà hàng|Quận Phú Nhuận|TP. HCM
Beefsteak Hai Con Bò - Nguyễn Cư Trinh|(08)66590909|263|https://www.foody.vn/ho-chi-minh/hai-con-bo-nguyen-cu-trinh|Nhà hàng|Quận 1|TP. HCM
Hàu Ký 253||2|https://www.foody.vn/ho-chi-minh/hau-ky-253|Ăn vặt/vỉa hè|Quận Gò Vấp|TP. HCM
Chicken Oppa - Gà Chiên Đại Ca - Hậu Giang|(08)39600829|20|https://www.foody.vn/ho-chi-minh/chicken-oppa-ga-chien-dai-ca-hau-giang|Quán ăn|Quận 6|TP. HCM
Chí Nghĩa - Minh Phụng||1|https://www.foody.vn/ho-chi-minh/chi-nghia-minh-phung|Café/Dessert|Quận 11|TP. HCM
Chảo Restaurant - Bánh Mì Chảo||420|https://www.foody.vn/ho-chi-minh/chao-restaurant|Nhà hàng|Quận 3|TP. HCM
Lẩu Dê Trương Định|(08)39304296|113|https://www.foody.vn/ho-chi-minh/lau-de-truong-dinh|Quán ăn|Quận 3|TP. HCM
Bachutha - Bánh Chuối Thái - Điện Biên Phủ|0909872926(nóirõchinhánhlấyhàng)|2|https://www.foody.vn/ho-chi-minh/bachutha-banh-chuoi-thai-dien-bien-phu|Ăn vặt/vỉa hè|Quận Bình Thạnh|TP. HCM
Topping Beef - Steakhouse|0944565557|368|https://www.foody.vn/ho-chi-minh/topping-beef-make-it-your-way|Nhà hàng|Quận 3|TP. HCM
Bánh Handmade Thoa Múp|0935183122|19|https://www.foody.vn/ho-chi-minh/banh-handmade-thoa-mup|Shop Online|Quận Bình Tân|TP. HCM
Mộc Cafe - Nguyễn Đình Chiểu|0932991101|55|https://www.foody.vn/ho-chi-minh/moc-cafe-nguyen-dinh-chieu|Café/Dessert|Quận 3|TP. HCM
King BBQ Buffet Cao Thắng|(08)39295299|154|https://www.foody.vn/ho-chi-minh/king-bbq-buffet-cao-thang|Buffet|Quận 3|TP. HCM
Quán Lẩu Dê 304||29|https://www.foody.vn/ho-chi-minh/lau-de-304|Quán ăn|Quận Tân Bình|TP. HCM
Kammui - Trà Muk||3|https://www.foody.vn/ho-chi-minh/kammui-tra-muk|Café/Dessert|Quận 5|TP. HCM
Lẩu Dê Thuận Phát|0938967577|7|https://www.foody.vn/ho-chi-minh/lau-de-thuan-phat|Quán nhậu|Quận 6|TP. HCM
Buzza Pizza - Emart||224|https://www.foody.vn/ho-chi-minh/buzza-pizza-e-mart-go-vap|Nhà hàng|Quận Gò Vấp|TP. HCM
Gogi House - Quán Nướng Hàn Quốc - Lotte Mart Gò Vấp|19006622|23|https://www.foody.vn/ho-chi-minh/gogi-house-quan-nuong-han-quoc-lotte-mart-go-vap|Nhà hàng|Quận Gò Vấp|TP. HCM
Thế Giới Tàu Hũ - Trần Hưng Đạo|0989097837, 0936097837|223|https://www.foody.vn/ho-chi-minh/the-gioi-tau-hu|Ăn vặt/vỉa hè|Quận 1|TP. HCM
Ốc Sóc|0906100777|5|https://www.foody.vn/ho-chi-minh/oc-soc|Ăn vặt/vỉa hè,|Quận 4|TP. HCM
Ăn Vặt Ngon Ngon - Shop Online|0902329590|1|https://www.foody.vn/ho-chi-minh/an-vat-ngon-ngon-shop-online|Shop Online|Quận Thủ Đức|TP. HCM
Quán Chà Bá - Mực Chiên & Bò Viên|01217900388, 0938559765|16|https://www.foody.vn/ho-chi-minh/quan-cha-ba-muc-chien-bo-vien|Ăn vặt/vỉa hè|Quận 6|TP. HCM
Bánh Mì Thùy Dương - Bình Tiên|0909126582, 0909715658|1|https://www.foody.vn/ho-chi-minh/banh-mi-thuy-duong-binh-tien|Ăn vặt/vỉa hè|Quận 6|TP. HCM
Mộc - Riêu & Nướng - Võ Văn Kiệt|(08)38364968, 0909282096|99|https://www.foody.vn/ho-chi-minh/moc-rieu-nuong|Quán ăn|Quận 1|TP. HCM
Kem Häagen Dazs - Hàn Thuyên|(08)38223311|290|https://www.foody.vn/ho-chi-minh/haagen-dazs-kem|Café/Dessert|Quận 1|TP. HCM
Cheese Coffee - Đường D2|(08)35126077|36|https://www.foody.vn/ho-chi-minh/cheese-coffee-duong-d2|Café/Dessert|Quận Bình Thạnh|TP. HCM
The Milktea Guy|0906736575|200|https://www.foody.vn/ho-chi-minh/the-milktea-guy-ngo-gia-tu|Café/Dessert|Quận 10|TP. HCM
Bánh Canh Ghẹ Muối Ớt Xanh - Nguyễn Tri Phương||249|https://www.foody.vn/ho-chi-minh/banh-canh-ghe-nguyen-tri-phuong|Quán ăn|Quận 10|TP. HCM
Tokbokki - Đinh Tiên Hoàng|0838.205.860|88|https://www.foody.vn/ho-chi-minh/tokbokki-dinh-tien-hoang|Quán ăn|Quận 1|TP. HCM
The Coffee House - Nguyễn Thái Sơn||32|https://www.foody.vn/ho-chi-minh/the-coffee-house-nguyen-thai-son|Café/Dessert|Quận Gò Vấp|TP. HCM
BuzZ Tea - Bánh Ngon & Trà Thơm||1|https://www.foody.vn/ho-chi-minh/buzz-tea|Café/Dessert|Quận Phú Nhuận|TP. HCM
Saigon Kitchen Restaurant - Hotel Des Arts Saigon|(08)39898888|5|https://www.foody.vn/ho-chi-minh/saigon-kitchen-restaurant-hotel-des-arts-saigon|Nhà hàng|Quận 3|TP. HCM
L'Usine Cafe - Đồng Khởi|(08)66749565|146|https://www.foody.vn/ho-chi-minh/l-usine-cafe-dong-khoi|Café/Dessert|Quận 1|TP. HCM
Nhà Sài Gòn Coffee|01268704184|0|https://www.foody.vn/ho-chi-minh/nha-sai-gon-coffee|Café/Dessert|Quận Bình Thạnh|TP. HCM
Dolpan Sam - Nướng Bàn Đá Hàn Quốc|(08)35170399|23|https://www.foody.vn/ho-chi-minh/dolpan-sam-nuong-ban-da-han-quoc|Nhà hàng|Quận Phú Nhuận|TP. HCM
Uno Quán - Tea & Milktea - Huỳnh Văn Bánh|(08)62654320, 0945742420, 01214965789|79|https://www.foody.vn/ho-chi-minh/uno-quan-tea-milktea|Café/Dessert|Quận Phú Nhuận|TP. HCM
Quán Rau Rừng Trung Sơn - Bánh Xèo|0908092139, 0903651619|12|https://www.foody.vn/ho-chi-minh/quan-rau-rung-trung-son-banh-xeo|Quán ăn|Bình Chánh|TP. HCM
Sài Gòn Givral Bakery - Đinh Tiên Hoàng||61|https://www.foody.vn/ho-chi-minh/sai-gon-givral-bakery-dinh-tien-hoang|Tiệm bánh|Quận Bình Thạnh|TP. HCM
Saigon Kitchen Club - Món Ăn Giảm Cân - Shop Online|(08)88629788|2|https://www.foody.vn/ho-chi-minh/saigon-kitchen-club-mon-an-giam-can-shop-online|Shop Online|Quận Bình Thạnh|TP. HCM
Lẩu Lòng Bò Nhật Bản - Motsunabe Rakutenchi - Lê Thánh Tôn|0903725515, (08)38279331|58|https://www.foody.vn/ho-chi-minh/lau-long-bo-nhat-ban-motsunabe-rakutenchi-le-thanh-ton|Nhà hàng|Quận 1|TP. HCM
Ốc Nho Quán|0933649047|16|https://www.foody.vn/ho-chi-minh/oc-nho-quan-le-quoc-hung|Ăn vặt/vỉa hè|Quận 4|TP. HCM
Uncle Tea - Trà Đài Loan - Trần Hưng Đạo|(08)66834504|50|https://www.foody.vn/ho-chi-minh/uncle-tea-tra-dai-loan-tran-hung-dao|Café/Dessert|Quận 5|TP. HCM
Citadel Saigon - Authentic Vietnamese Cuisine||4|https://www.foody.vn/ho-chi-minh/citadel-saigon-authentic-vietnamese-cuisine|Nhà hàng|Quận 1|TP. HCM
Cây Si Cafe - Lê Đức Thọ||8|https://www.foody.vn/ho-chi-minh/cay-si-cafe-le-duc-tho|Café/Dessert|Quận Gò Vấp|TP. HCM
Uraetei BBQ - Phổ Đình - Trần Hưng Đạo|(08)66831073, 0909350369|16|https://www.foody.vn/ho-chi-minh/uraetei-bbq-pho-dinh-tran-hung-dao|Nhà hàng|Quận 1|TP. HCM
Finita Cafe|(08)22532676|21|https://www.foody.vn/ho-chi-minh/finita-cafe|Café/Dessert|Quận Tân Bình|TP. HCM
Ding Tea - Cao Thắng|0898023567|24|https://www.foody.vn/ho-chi-minh/ding-tea-cao-thang|Café/Dessert|Quận 3|TP. HCM
After Meal - Dessert Shop||9|https://www.foody.vn/ho-chi-minh/after-meal-dessert-shop|Café/Dessert|Quận 1|TP. HCM
Lotteria - Xô Viết Nghệ Tĩnh|(08)35141571|29|https://www.foody.vn/ho-chi-minh/lotteria-xo-viet-nghe-tinh|Nhà hàng|Quận Bình Thạnh|TP. HCM
Sushi Hokkaido Sachi 北海道サチ - Nguyễn Trãi|(08)39260748, (08)39260749|210|https://www.foody.vn/ho-chi-minh/sushi-hokkaido-sachi-nguyen-trai|Nhà hàng|Quận 1|TP. HCM
Mì Cay 7 Cấp Độ Oppa|0907333242|14|https://www.foody.vn/ho-chi-minh/mi-cay-7-cap-do-oppa|Quán ăn|Quận Tân Phú|TP. HCM
Lâm Bô - Buffet Lẩu & Món Nướng - Lê Đức Thọ||8|https://www.foody.vn/ho-chi-minh/lam-bo-buffet-lau-mon-nuong-le-duc-tho|Quán ăn|Quận Gò Vấp|TP. HCM
Trà Sữa Sharetea - Tôn Thất Thiệp|0906812977|17|https://www.foody.vn/ho-chi-minh/tra-sua-sharetea-ton-that-thiep|Café/Dessert|Quận 1|TP. HCM
Bánh Đúc Lá Dứa - Nguyễn Kiệm||1|https://www.foody.vn/ho-chi-minh/banh-duc-la-dua-nguyen-kiem|Ăn vặt/vỉa hè|Quận Phú Nhuận|TP. HCM
Snow Bings - Bingsu Kem Tuyết|0939334666|229|https://www.foody.vn/ho-chi-minh/snow-bings-kem-tuyet|Café/Dessert|Quận 1|TP. HCM
Phở Đuôi Bò Ông Cả||9|https://www.foody.vn/ho-chi-minh/ong-ca-quan-pho|Quán ăn|Quận 3|TP. HCM
Innoshima Julian - Ẩm Thực Nhật Bản|(08)73011900|3|https://www.foody.vn/ho-chi-minh/innoshima-julian-am-thuc-nhat-ban|Nhà hàng|Quận 3|TP. HCM
Chả Lụi Nướng LaGi||113|https://www.foody.vn/ho-chi-minh/cha-lui-nuong-lagi|Quán ăn|Quận Tân Bình|TP. HCM
Thế Giới Donut Cake - Hai Bà Trưng|(08)38208999|117|https://www.foody.vn/ho-chi-minh/donut-cake-hai-ba-trung|Tiệm bánh|Quận 1|TP. HCM
Urban Station Coffee Takeaway - Nguyễn Trãi|(08)66816064|51|https://www.foody.vn/ho-chi-minh/urban-station-coffee-takeaway-nguyen-trai|Café/Dessert|Quận 5|TP. HCM
Highlands Coffee - Lakai|(08)38380333|68|https://www.foody.vn/ho-chi-minh/highlands-coffee-nguyen-tri-phuong|Café/Dessert|Quận 5|TP. HCM
Cơm Tấm Cây Bàng - Nguyễn Xí|0943977997|1|https://www.foody.vn/ho-chi-minh/com-tam-cay-bang-nguyen-xi|Quán ăn|Quận Bình Thạnh|TP. HCM
Nhà Hàng Ngân Đình Sài Gòn|(028)39826868|12|https://www.foody.vn/ho-chi-minh/nha-hang-ngan-dinh-sai-gon|Nhà hàng|Quận 1|TP. HCM
Dallas Cakes & Coffee - 3 Tháng 2|(08)62934975|165|https://www.foody.vn/ho-chi-minh/dallas-cakes-coffee-3-thang-2|Tiệm bánh|Quận 10|TP. HCM
Chú Tèo Buffet Nướng 99K - Phạm Văn Đồng|0912470440|12|https://www.foody.vn/ho-chi-minh/chu-teo-buffet-nuong-99k-pham-van-dong|Quán ăn|Quận Thủ Đức|TP. HCM
Hủ Tiếu Nam Vang Nhân Quán - Nguyễn Thị Minh Khai|19002042, 0902967409|70|https://www.foody.vn/ho-chi-minh/hu-tieu-nam-vang-nhan-quan-nguyen-thi-minh-khai|Quán ăn|Quận 3|TP. HCM
Hồng Diên - Bánh Căn & Bánh Xèo|0903085086|49|https://www.foody.vn/ho-chi-minh/banh-can-phan-van-tri|Ăn vặt/vỉa hè,|Quận Gò Vấp|TP. HCM
Marukame Udon - AEON Mall Tân Phú||411|https://www.foody.vn/ho-chi-minh/marukame-udon-aeon-mall|Nhà hàng|Quận Tân Phú|TP. HCM
Chicken Go Saigon - Shop Online|0971823477|3|https://www.foody.vn/ho-chi-minh/chicken-go-saigon-shop-online|Shop Online|Quận Tân Bình|TP. HCM
Warning Zone - UP|01234666286|10|https://www.foody.vn/ho-chi-minh/warning-zone-up|Nhà hàng|Quận 1|TP. HCM
Trà Sữa Bobapop - Võ Văn Ngân|(08)66549933, 01672110727|79|https://www.foody.vn/ho-chi-minh/tra-sua-bobapop-vo-van-ngan|Café/Dessert|Quận Thủ Đức|TP. HCM
Dim Tu Tac Cha Chaan Teng - Nhà Hàng Quảng Đông|(08)38633332|8|https://www.foody.vn/ho-chi-minh/dim-tu-tac-cha-chaan-teng-nha-hang-quang-dong|Nhà hàng,|Quận 10|TP. HCM
Uncle Tea - Trà Đài Loan - Cách Mạng Tháng 8|(08)39701988|20|https://www.foody.vn/ho-chi-minh/uncle-tea-tra-dai-loan-cach-mang-thang-8|Café/Dessert|Quận Tân Bình|TP. HCM
Tokyo Deli - Lê Thánh Tôn|(08)54042244|316|https://www.foody.vn/ho-chi-minh/tokyo-deli-le-thanh-ton|Nhà hàng|Quận 1|TP. HCM
Saigon Toucan - Coffee & Tea|0901769733|4|https://www.foody.vn/ho-chi-minh/saigon-toucan-coffee-tea|Café/Dessert|Quận 4|TP. HCM
Hurom Juice Cafe - Hàm Nghi|(08)38218820|37|https://www.foody.vn/ho-chi-minh/hurom-juice-cafe-ham-nghi|Café/Dessert|Quận 1|TP. HCM
Trà Sữa Gong Cha - 貢茶 - An Dương Vương|(08)38301822, 01207685916, 01677456066, 19002042|189|https://www.foody.vn/ho-chi-minh/tra-sua-gong-cha-an-duong-vuong|Café/Dessert|Quận 5|TP. HCM
Trà Sữa Jungle|0933217188, 0986360064|6|https://www.foody.vn/ho-chi-minh/tra-sua-jungle|Café/Dessert|Quận Tân Phú|TP. HCM
Bún Cá Rô Đồng Hoàng Cúc|0909546486|6|https://www.foody.vn/ho-chi-minh/bun-ca-ro-dong-hoang-cuc|Quán ăn|Quận Tân Bình|TP. HCM
Nhà Hàng Cánh Quạt - Hải Sản & Ẩm Thực Việt|0984889075, 0938066229|11|https://www.foody.vn/ho-chi-minh/nha-hang-canh-quat-hai-san-am-thuc-viet|Nhà hàng|Nhà Bè|TP. HCM
Hoa Ly - Trà Sữa Nhà Làm - Nguyễn Thái Bình|0935187779|5|https://www.foody.vn/ho-chi-minh/tra-sua-nha-lam-hoa-ly-nguyen-thai-binh|Ăn vặt/vỉa hè|Quận Tân Bình|TP. HCM
Gà Rán Popeyes - Cộng Hòa|(08)39483238, 19006008|108|https://www.foody.vn/ho-chi-minh/ga-ran-popeyes-cong-hoa|Nhà hàng|Quận Tân Bình|TP. HCM
Fitfood VN - Shop Online|0971248950, 0932788120|31|https://www.foody.vn/ho-chi-minh/fitfood-vn-shop-online|Shop Online|Quận Bình Thạnh|TP. HCM
Kichi Kichi Lẩu Băng Chuyền - Vincom Thủ Đức|(08)38972089|45|https://www.foody.vn/ho-chi-minh/kichi-kichi-lau-bang-chuyen-vincom-thu-duc|Nhà hàng|Quận Thủ Đức|TP. HCM
Ốc Nhớ Sài Gòn - Trịnh Đình Trọng||177|https://www.foody.vn/ho-chi-minh/oc-nho-sai-gon-trinh-dinh-trong|Quán ăn|Quận Tân Phú|TP. HCM
Say Coffee 24H - Sư Vạn Hạnh|(08)62647809, 0932098989|485|https://www.foody.vn/ho-chi-minh/say-coffee|Café/Dessert|Quận 10|TP. HCM
Cô Út - Bánh Mì Xíu Mại||1|https://www.foody.vn/ho-chi-minh/banh-mi-bi-xiu-mai-671919|Ăn vặt/vỉa hè,|Quận 4|TP. HCM
Akataiyo 赤太陽 Mặt Trời Đỏ - Hai Bà Trưng|(08)38244295|60|https://www.foody.vn/ho-chi-minh/akataiyo-mat-troi-do-hai-ba-trung|Nhà hàng|Quận 1|TP. HCM
Ốc Chánh||54|https://www.foody.vn/ho-chi-minh/oc-chanh|Quán ăn|Quận Gò Vấp|TP. HCM
Tràng An Quán - Bún Đậu Mắm Tôm||21|https://www.foody.vn/ho-chi-minh/trang-an-quan-bun-dau-mam-tom|Quán ăn|Quận 4|TP. HCM
Coca Macaron Bakery|0969389696|0|https://www.foody.vn/ho-chi-minh/coca-macaron-bakery|Tiệm bánh|Quận Tân Phú|TP. HCM
Yamamoto Mattcha Cafe Premium - Saigon Centre||59|https://www.foody.vn/ho-chi-minh/yamamoto-mattcha-cafe-premium-saigon-centre|Café/Dessert|Quận 1|TP. HCM
Bánh Đa Trộn Badar - Lê Văn Sỹ|0908453838, 0973592735|41|https://www.foody.vn/ho-chi-minh/banh-da-tron-badar-le-van-sy|Ăn vặt/vỉa hè|Quận Phú Nhuận|TP. HCM
Chụyy Quán - Món Quảng|0946264506, 0902628734|55|https://www.foody.vn/ho-chi-minh/chuyy-quan-mon-quang|Quán ăn|Quận 3|TP. HCM
Bột Chiên Ông Ba - Vĩnh Khánh|0924119695|5|https://www.foody.vn/ho-chi-minh/bot-chien-ong-ba-vinh-khanh|Ăn vặt/vỉa hè|Quận 4|TP. HCM
Layla - Eatery & Bar||13|https://www.foody.vn/ho-chi-minh/layla-eatery-bar|Quán ăn,|Quận 1|TP. HCM
Meet Fresh - Phan Xích Long|1900588899(ưutiên), 0938442555|17|https://www.foody.vn/ho-chi-minh/meet-fresh-phan-xich-long|Café/Dessert|Quận Phú Nhuận|TP. HCM
Bún Riêu Cua Ốc & Canh Bún||1|https://www.foody.vn/ho-chi-minh/bun-rieu-cua-oc-canh-bun|Quán ăn|Quận Bình Thạnh|TP. HCM
Bami Cô Bống - Bánh Mì Chảo & Pate Chiên|0986078181, 0987693131|217|https://www.foody.vn/ho-chi-minh/bami-co-bong-banh-mi-chao-pate-chien|Quán ăn|Quận 3|TP. HCM
Beefsteak Only - Hàn Thuyên|(08)39485531, 0908901100, 0902430037|24|https://www.foody.vn/ho-chi-minh/beefsteak-only-han-thuyen|Quán ăn|Quận Thủ Đức|TP. HCM
Xì Trum Quán - Lê Thị Hồng||13|https://www.foody.vn/ho-chi-minh/xi-trum-quan-le-thi-hong|Ăn vặt/vỉa hè|Quận Gò Vấp|TP. HCM
Hoàng Yến Cuisine - Ngô Đức Kế|(08)38231101|16|https://www.foody.vn/ho-chi-minh/hoang-yen-cuisine-ngo-duc-ke|Nhà hàng|Quận 1|TP. HCM
